63,1,580177,3510850,1222,9
63,2,581187,3512053,1254,9
63,3,581204,3509768,1246,18
63,4,582932,3512517,1278,8.7
63,5,582649,3510770,1269,12
63,6,581888,3511774,1269,12
63,7,584459,3512808,1298,8.6
63,8,583788,3511375,1286,11
63,9,584592,3509391,1339,4.2
63,10,584265,3508354,1376,6
63,11,585909,3512635,1316,18
63,12,585356,3511396,1285,15
63,13,586110,3510185,1334,20
63,14,585442,3507187,1390,11
63,15,587458,3513185,1328,15
63,16,586839,3511669,1330,13
63,17,588021,3510226,1357,11
63,18,586710,3508098,1365,12
63,19,587845,3506713,1447,10
63,20,587480,3504939,1525,8.6
63,21,589091,3513386,1356,8.2
63,22,588341,3511789,1343,12
63,23,589101,3511164,1334,8.2
63,24,588636,3508844,1387,17
63,25,589809,3506879,1431,9.8
63,26,588736,3505522,1486,11
63,27,590419,3511838,1361,13
63,28,590624,3509990,1369,8.4
63,29,591791,3508586,1373,8.5
63,30,591511,3505993,1447,9.9
63,31,592402,3513702,1413,7.4
63,32,592441,3511695,1383,22
63,33,591778,3510511,1387,6.5
63,34,590946,3507458,1420,9.8
63,35,591655,3506921,1409,8.8
63,36,591306,3504994,1459,10
63,37,593303,3506068,1404,11
63,38,594711,3513538,1452,9.4
63,39,593470,3511293,1420,9
63,40,593360,3510286,1390,7.5
63,41,593275,3508064,1407,12
63,42,592673,3504936,1423,10
63,43,595343,3514431,1466,9
63,44,594952,3511627,1443,11
63,45,594726,3510299,1428,9.2
63,46,595289,3508655,1445,7.9
63,47,594270,3507025,1416,10
63,48,595587,3505653,1442,11
63,49,594481,3505240,1437,12
63,50,596864,3514919,1487,5.6
63,51,595610,3513095,1460,6.2
63,52,596490,3511950,1480,10
63,53,596008,3509523,1422,8.7
63,54,598218,3513974,1523,4.9
63,55,599918,3513612,1551,4.9
63,56,598334,3512322,1490,13
63,57,596089,3510781,1456,8.1
63,58,597422,3509510,1423,6.7
63,59,598307,3508443,1469,5.9
63,60,599659,3512461,1514,8.7
63,61,599409,3511574,1502,5.3
63,62,600544,3511056,1504,5.6
63,63,599477,3509758,1470,5.9
63,64,601283,3514443,1573,4.4
63,65,601253,3512633,1550,9.5
63,66,602039,3511414,1527,6.1
63,67,602523,3514774,1610,4.4
63,68,603070,3513183,1578,12
63,69,603916,3515463,1638,8.4
63,70,604288,3514207,1630,12
63,71,591791,3512561,1388,8.3
63,72,598354,3511165,1475,7.3
63,73,581888,3511774,1244,9.4
63,74,590549,3513984,1382,8.6
63,75,581888,3511774,1244,9.4
63,76,582624,3509679,1311,13
63,77,581888,3511774,1244,9.4
63,78,581888,3511774,1244,9.4
63,79,586527,3509127,1334,10
63,80,590761,3511243,1372,10
63,81,589310,3508200,1406,17
63,82,600154,3511680,1512,5.3
63,83,589697,3512426,1368,9.4
63,84,581888,3511774,1244,9.4
63,85,581888,3511774,1244,9.4
63,86,581888,3511774,1244,9.4
63,87,593369,3512745,1418,7.4
63,88,597437,3513364,1501,7.7
63,89,596308,3513931,1491,7.2
63,90,596547,3513084,1463,5.3
63,91,599114,3513048,1530,3.5
63,92,581888,3511774,1244,9.4
